,Precipitation,netSSR,SSR,Evaporation,Temperature,TotalCloudCover,SnowDensity,WindSpeed10m,SurfacePressure
1940-01-01 06:00:00,0.0049324036,3681792.0,6211584.0,-0.00020435825,271.01587,0.72866994,178.96873,1.5235996,92167.81
1940-02-01 06:00:00,0.0014543533,7115776.0,10627072.0,-0.00045348704,274.48486,0.6351267,213.54686,1.5996027,92251.69
1940-03-01 06:00:00,0.0009689331,13195167.0,15895573.0,-0.001393199,277.8955,0.52428395,133.7578,1.8154202,92289.625
1940-04-01 06:00:00,0.00258255,16140800.0,19427840.0,-0.0022308081,282.8589,0.58631945,107.124985,1.6123009,92254.94
1940-05-01 06:00:00,0.00406456,16786432.0,20179456.0,-0.0028038584,286.40063,0.57187307,99.999985,1.6047382,92199.06
1940-06-01 06:00:00,0.0028362274,20194816.0,24097792.0,-0.00358193,291.6101,0.4268036,99.999985,1.3473282,92243.19
1940-07-01 06:00:00,0.003200531,20892160.0,25075712.0,-0.0036119223,294.8235,0.28267127,99.999985,1.3892555,92469.81
1940-08-01 06:00:00,0.0005760193,19563520.0,23478784.0,-0.0019884221,292.80298,0.2265625,99.999985,1.4605932,92612.19
1940-09-01 06:00:00,0.0011882782,15202235.0,18244240.0,-0.0013480186,290.8418,0.3574524,99.999985,1.464139,92766.94
1940-10-01 06:00:00,0.001701355,8530944.0,10163200.0,-0.0008925274,286.67883,0.6583091,99.999985,1.5027056,92625.125
1940-11-01 06:00:00,0.0015850067,6291456.0,7396352.0,-0.00051473826,281.9309,0.6183391,99.999985,1.3777094,92509.81
1940-12-01 06:00:00,0.004693985,4069888.0,5660672.0,-0.0003370084,272.07056,0.75297517,147.10936,1.6220961,92092.69
1941-01-01 06:00:00,0.0024986267,3766272.0,5926912.0,-0.00014556572,274.50293,0.7491455,220.49998,1.4013433,91981.875
1941-02-01 06:00:00,0.0037708282,7798784.0,10428416.0,-0.00071086735,277.62842,0.64327365,167.97655,1.8168793,91844.94
1941-03-01 06:00:00,0.0005378723,13662957.0,16663879.0,-0.0014816746,279.2661,0.45217764,126.7578,1.7331648,92310.94
1941-04-01 06:00:00,0.0024719238,16914432.0,20314624.0,-0.0023772195,283.49585,0.48693502,107.20311,1.822587,92032.31
1941-05-01 06:00:00,0.0023231506,18085376.0,21734400.0,-0.0030435547,288.08594,0.47933322,99.999985,1.8174047,92189.31
1941-06-01 06:00:00,0.0015068054,22346240.0,26651136.0,-0.0032549798,292.83594,0.26698303,99.999985,1.7748156,92476.19
1941-07-01 06:00:00,0.001411438,21202432.0,25446400.0,-0.0028280132,295.25952,0.24240112,99.999985,1.5806065,92340.625
1941-08-01 06:00:00,0.00082969666,19550208.0,23458816.0,-0.0016255528,295.8827,0.18873596,99.999985,1.7177429,92380.31
1941-09-01 06:00:00,0.0033073425,12705674.0,15268372.0,-0.0014911294,287.33862,0.49674988,99.999985,1.4017763,92633.06
1941-10-01 06:00:00,0.0030059814,9761280.0,11662848.0,-0.001129251,282.44556,0.47363287,108.312485,1.6228619,92483.94
1941-11-01 06:00:00,0.0015888214,5494272.0,6713344.0,-0.0005842522,276.9995,0.6395163,125.11717,1.3807287,92675.25
1941-12-01 06:00:00,0.0013008118,5822976.0,7506944.0,-0.00036728382,271.67212,0.39961815,146.74217,1.6568508,92481.81
1942-01-01 06:00:00,0.0036640167,3316736.0,5491712.0,-0.00018562004,268.9148,0.80720186,158.93748,1.5234041,91843.75
1942-02-01 06:00:00,0.0030059814,4761088.0,7554048.0,-0.00022250041,273.81396,0.8498252,222.71873,1.5291824,91887.56
1942-03-01 06:00:00,0.0012664795,8657595.0,10709154.0,-0.00088329613,277.63403,0.71925265,172.53905,1.4305029,92405.25
1942-04-01 06:00:00,0.001449585,14128640.0,16946688.0,-0.0019331686,282.8761,0.6341656,100.04686,1.6371155,92351.375
1942-05-01 06:00:00,0.001209259,20472832.0,24559616.0,-0.003086213,289.08423,0.36652577,99.999985,1.5924635,92476.5
1942-06-01 06:00:00,0.002363205,21777920.0,25977856.0,-0.003422182,293.34644,0.29714966,99.999985,1.6852064,92400.125
1942-07-01 06:00:00,0.001115799,21416960.0,25712128.0,-0.002562724,294.54126,0.17700195,99.999985,1.3806877,92498.0
1942-08-01 06:00:00,0.0023002625,19226112.0,23078400.0,-0.001883395,294.47217,0.24539185,99.999985,1.2581558,92555.31
1942-09-01 06:00:00,0.00035476685,16163834.0,19387984.0,-0.0012766011,291.82043,0.2685852,99.999985,1.3321924,92759.875
1942-10-01 06:00:00,0.0017204285,10865664.0,12945408.0,-0.00078594685,285.23022,0.42252427,99.999985,1.3350077,92718.56
1942-11-01 06:00:00,0.0031433105,5787648.0,6895616.0,-0.00058118254,279.10718,0.7062797,122.72655,1.280921,92401.44
1942-12-01 06:00:00,0.0014877319,4381184.0,5326848.0,-0.00033393875,276.1931,0.64744455,116.374985,1.1291704,92927.5
1943-01-01 06:00:00,0.0028543472,4898304.0,7806976.0,-0.00026172027,270.26953,0.45770514,171.65623,1.5939436,92139.0
1943-02-01 06:00:00,0.0007247925,7967744.0,10942464.0,-0.0005332269,274.03638,0.40040845,214.27342,1.3121948,92947.31
1943-03-01 06:00:00,0.0008354187,10010352.0,12036839.0,-0.0010562725,276.8274,0.733619,122.55467,1.4302578,92711.06
1943-04-01 06:00:00,0.0030136108,17310208.0,21034496.0,-0.0024582557,283.14136,0.5283503,119.89061,1.6820202,92502.625
1943-05-01 06:00:00,0.0037975311,18405888.0,22113280.0,-0.0029744506,287.34534,0.50064105,99.999985,1.8398218,92396.56
1943-06-01 06:00:00,0.0019359589,20730880.0,24739840.0,-0.0033428445,291.29236,0.29148865,99.999985,1.4986076,92490.31
1943-07-01 06:00:00,0.00026512146,22807552.0,27377664.0,-0.0023508593,296.12183,0.14421082,99.999985,1.7777138,92418.375
1943-08-01 06:00:00,0.00024223328,20085760.0,24100352.0,-0.0009672716,297.13306,0.14724731,99.999985,1.4154348,92536.75
1943-09-01 06:00:00,0.00024414062,16174569.0,19397488.0,-0.00055813044,293.66394,0.27427673,99.999985,1.3880453,92690.125
1943-10-01 06:00:00,0.0008678436,10634752.0,12663296.0,-0.00052622706,286.58887,0.42267907,99.999985,1.267828,92793.31
1943-11-01 06:00:00,0.0036144257,5362176.0,6298624.0,-0.0005928613,281.58936,0.7055335,99.999985,1.410572,92521.25
1943-12-01 06:00:00,0.003232956,4210688.0,5235712.0,-0.00036652014,276.6067,0.7055035,124.14061,1.2971354,92716.375
1944-01-01 06:00:00,0.001253128,5265920.0,8283136.0,-0.00026628375,271.0022,0.4348588,214.21092,1.664217,92727.31
1944-02-01 06:00:00,0.004037857,6419968.0,8984064.0,-0.00051671267,274.208,0.67199534,202.0703,1.6308289,91676.81
1944-03-01 06:00:00,0.003586769,10809682.0,13866765.0,-0.0012008697,276.65308,0.6468244,142.61717,1.7855892,91805.5
1944-04-01 06:00:00,0.00349617,13723136.0,16497664.0,-0.0020120926,283.11963,0.69410056,106.499985,1.497901,92460.81
1944-05-01 06:00:00,0.0017929077,18497536.0,22242816.0,-0.0029868558,287.15527,0.49018782,104.218735,1.4813719,92670.81
1944-06-01 06:00:00,0.0016975403,21302272.0,25421824.0,-0.0034247525,292.21948,0.3393097,99.999985,1.5387402,92343.0
1944-07-01 06:00:00,0.00061416626,21460480.0,25769472.0,-0.0023570545,294.8883,0.21328735,99.999985,1.4934025,92382.875
1944-08-01 06:00:00,0.0006580353,19019776.0,22840832.0,-0.0011760071,294.05603,0.24591064,99.999985,1.3725233,92667.81
1944-09-01 06:00:00,0.0008468628,14759347.0,17713254.0,-0.0007124916,291.37744,0.3502655,99.999985,1.3372393,92914.875
1944-10-01 06:00:00,0.003194809,9345536.0,11134976.0,-0.00094372407,286.0188,0.56544137,99.999985,1.5043154,92374.125
1944-11-01 06:00:00,0.00057792664,6914048.0,8135680.0,-0.0006396696,279.76758,0.53030694,105.749985,1.4106483,92310.44
1944-12-01 06:00:00,0.003191948,3715072.0,4961280.0,-0.00033593178,273.96973,0.7659622,130.18748,1.378665,92530.06
1945-01-01 06:00:00,0.003378868,4186112.0,6782976.0,-0.00015757233,270.66577,0.70402914,202.87498,1.6113863,91828.375
1945-02-01 06:00:00,0.0003633499,9261568.0,12839936.0,-0.0005540401,272.3423,0.38211066,259.625,1.6352797,92893.375
1945-03-01 06:00:00,0.0009918213,14178387.0,17758744.0,-0.0013487339,277.0664,0.37163007,133.70311,1.703722,92938.0
1945-04-01 06:00:00,0.0014648438,17551872.0,21028352.0,-0.0024010576,283.38916,0.42976338,99.999985,1.7368155,92481.25
1945-05-01 06:00:00,0.0014686584,20425728.0,24508416.0,-0.0032503642,290.5022,0.48288643,99.999985,1.5997782,92642.625
1945-06-01 06:00:00,0.0039253235,21788160.0,25992192.0,-0.0038812943,292.7079,0.35835266,99.999985,1.4034815,92684.94
1945-07-01 06:00:00,0.0029678345,21664768.0,25999360.0,-0.0037172362,294.96472,0.2689209,99.999985,1.3941259,92475.31
1945-08-01 06:00:00,0.0005340576,19823104.0,23788032.0,-0.0024910234,296.80078,0.1842804,99.999985,1.9610796,92328.94
1945-09-01 06:00:00,0.0036640167,14017267.0,16818614.0,-0.0019631013,290.8047,0.34953308,99.999985,1.4300919,92612.25
1945-10-01 06:00:00,0.0011253357,10683392.0,12731392.0,-0.0012635067,283.85156,0.39331836,99.999985,1.3548784,92864.5
1945-11-01 06:00:00,0.004650116,4785664.0,5689344.0,-0.0006633289,279.9431,0.7798377,115.20311,1.3047142,92482.31
1945-12-01 06:00:00,0.0043201447,4183552.0,5456896.0,-0.0003190413,275.11206,0.67785126,159.18748,1.3588686,92134.31
1946-01-01 06:00:00,0.0039424896,3383808.0,5359616.0,-0.00019984692,272.00708,0.72696704,176.39842,1.4665356,93012.75
1946-02-01 06:00:00,0.0004749298,9311744.0,12298752.0,-0.00065215304,273.6814,0.41515702,182.1328,1.7521229,92146.44
